Scammer,Label
Diwali Grand Offer - Avail three premium watches worth Rs. 3400 absolutely free with every single watch purchase! Grab it now! Offer ending soon! Sir you're in for a treat. Our offer is coming to a close. Leave the delivery to us; no need to step out. Please check your inbox for the account details to make the payment of Rs. 2700. Kindly make the payment to confirm your order.,1
"Hello, I came across your product listing online, and I'm quite interested in making a purchase. However, before proceeding, I'd like to send you a small deposit as a token of my serious intent. Please share your payment details so I can proceed with the transaction.",1
"Dear Customer, Closure Code for your Service request#19010829 is 6625, Pls share it to AOS authorized technician only if your request is attended & closed. For assistance pls call 18001032468/18605002468: AO Smith Service",0
Your latest IGL bill is ready to view and pay online please check https://dp-mailprd.igl.co.in/?bp_number=7000081025-IGL,0
"Paid Rs. 122.82 to Uber on Jan 5, 2022 18:21:55 with Paytm Ref: 38291955842. For more details, visit https://paytm.me/ja9-gyI",0
"USD14.95 debited on Credit Card XX4004 on 19-Dec-20.Info:Audible.Avbl Lmt:INR1,35,402.98.Call 18002662 for dispute or SMS BLOCK 4004 to 9215676766",0
Total Amount of INR 439 and Minimum Amount of INR 100 is due by 04-Jan-22 on your ICICI Bank Credit Card XX3005. Pls ignore if already paid.,0
"Call your mom, BFF and everyone else! FLASH SALE ALERT - TODAY, from 6-9PM only! Upto 50% OFF on ALL that you LOVE @Nykaa Pink Friday Sale. RUSH 1kx.in/TK2bIW",0
"Hello Nitesh goyal! Your PM Service request number 13875171 is on HOLD for 1/25/2021 11:15 AM due to No Response on Phone. if the change has done without your acceptance Pls reply back ""NO"" to 9282159481 to escalate. For further assistance please call 18001032468/18605002468: AO Smith Service",0
"Hello, I called you earlier, I have been trying to transfer the amount for the last 10 minutes, but I am unable to do so. Therefore, I will be sending you a QR code through email, Please scan the QR code so that I can send you the amount.",1
"LAST WEEKEND BEFORE DIWALI,Is your home Diwali ready? Shop at HOME CENTRE. Min 40%OFF to upto 60%OFF on furn +5% Cashback on SBI cc @ stores.T&C. bit.ly/3BfpGyj",0
"Hello WORKFORCE, I'm part of HR. You've been selected for a work-from-home project. Earn up to Rs. 20,000 per day.http://wa.me/2222222222. Regards PEACHOVA",1
Dear Sir/Madam the current market price for this high-end phone is Rs. 1300 but we're slashing the price to just Rs. 55000 for a limited time. On top of that you'll receive a cashback of Rs. 25000. Don't miss out! This special offer is valid for the next 40 minutes only and our stock is quickly depleting. Make your purchase now and complete the payment to take advantage of this amazing deal.,1
"Hi, this is Neha from CRYBABY Corporation. Great news! You've won the Rs 4 Lakh jackpot! Please check your messages for the jackpot details. Call the number mentioned to claim your prize.",1
"Dear Customer, your UPPCL URBAN bill for Consumer Number: 2136365000 of Rs 2173.0 is due on 2021-11-21. To pay your bill through ICICI Bank, visit bit.ly/2Ery6v6.",0
Hey! It's Arjun from SAMSUNG. Big congratulations on winning Rs. 10 Lakh in our recent draw! Check your inbox for the jackpot details. Reach out to the contact number provided to claim your prize.,1
Dear Customer the usual market price for this phone is Rs. 1100 but we're offering it at an unbeatable price of Rs. 45000. Additionally you'll receive a cashback of Rs. 20000. But hurry! This exclusive offer is valid for the next 25 minutes only and we're running low on stock. Don't delay; place your order now and complete the payment to enjoy this incredible deal.,1
Arriving early: Pooplu Women's T-Shirt (TVP-Female-M-LongTeddy-2-Bla... & 2 items. Use OTP 406697 at delivery to receive your package. https://amzn.in/d/3djoOo1,0
Hello I'm calling from the Community Health Center. We're offering a vaccination service at your doorstep. I'll need to verify your address and register you for the vaccine. Could you please provide your Aadhaar and PAN card details? Thank you. Just a moment I'm in the process of registering your Aadhaar and PAN card. Once done you'll receive a registration OTP code. Kindly share it with me. Thank you. Your vaccine registration is successful and you'll receive a confirmation shortly. When our health officials visit for vaccination please share the code provided.,1
IndiGo: Hello Ms Gupta - Your IndiGo PNR TZGJGH is cancelled. You may track your refund status here: https://bit.ly/2OTTQFf,0
"Here today, gone tomorrow. Last day to use the 500 bonus points before they expire. Visit the nearest store & redeem your 784 points (Rs. 784) today. *T&C",0
Dekhiye Bhojpuri blockbusters AD FREE! Action se bhari films leke aaya hai HAMAAR CANIMA sirf Airtel DTH CH651 pe Rs1.4/din. Call 9154052651 & subscribe,0
"Store: lskt.me/u8""",0
"Standard Chartered representatives will never ask for confidential information like PIN, OTP, login ID, password, CVV etc. Beware of fraudulent callers pretending to be from the bank, claiming to solve issues like card replacement, disputed transaction etc, to get your confidential details. They can use these details to access and transact on your account. To report a fraud, please call 18002586465 / 18001024734. - StanChart",0
Greetings Rakesh. I'm Siddharth representing the Human Resources team at ABC Corporation. Congratulations on being chosen for a managerial position with us. To proceed kindly submit a one-time registration fee of Rs. 7500 as a security deposit for the office laptop. As this is a remote role we'll arrange for the laptop to be shipped to your address.,1
Hello esteemed candidate! Thank you for registering with our agency. We've reviewed your CV and are delighted to offer you a work-from-home opportunity. Please provide your Aadhaar and PAN card details for verification purposes. Additionally fill out the required forms and sign documents in accordance with company regulations. Once all paperwork is complete and your address proof and PAN card details are provided you can begin working from tomorrow. Your login credentials for the www.remotejobsearch.com portal are provided. Please note a security deposit of Rs. 10300 is required.,1
Incredible Ishan! Just a little further and you'll be the proud winner of our Rs. 10 lakh jackpot. But first we need to settle a tax fee of Rs. 22000 to finalize the claim.,1
"Attention gaming enthusiasts! Join us as beta testers for our upcoming game release. Your feedback will shape the final product. Play, share your opinions, and receive Rs 5,500/- as a reward for your valuable contributions.",1
"Good day! We're contacting you from HDFC regarding your insurance policy activation. Your policy has been activated, and a premium payment of Rs18000 is essential to maintain your coverage.",1
Hi this is STU Diagnostic Center contacting you. We're in need of your address for sample collection purposes. The total fee for this service is Rs. 990 covering a home collection charge of Rs. 9Additionally there's an advance payment of Rs. 560 required for pre-booking. I'll send you the payment link shortly.,1
I'm reaching out as a recovery agent representing YESBANK Bank. It has come to our attention that there has been a default in your loan repayment. As per bank protocol we are obligated to seize your vehicle. You currently have outstanding dues of approximately Rs. 25000. To prevent further action an initial payment of Rs. 6000 is required immediately.,1
Hi I saw your product advertisement on the platform. I really liked it and I am interested in buying it we want to inspect the car  but before that I will send you a token amount as I don't want to lose the offer .,1
Let the 'Magical Days' begin! Flat 25% Off on hard-to-resist styles. Grab your favorites before they're gone. Visit M&S stores & website: bit.ly/3pUnusa. T&C,0
Good day this is the Community Health Center calling. We're thrilled to offer vaccination services at your doorstep. To get started I'll need to validate your address and complete your vaccine registration. Can you please share your Aadhaar and PAN card details? Thank you. I'm currently registering your Aadhaar and PAN card. Once done you'll receive a registration OTP code. Please share it with me. Thank you. Your vaccine registration is confirmed and you'll receive a confirmation shortly. Remember to share the provided code with our health officials during the vaccination process.,1
"Hi, sir! This is EFG Industries contacting you. We're delighted to offer you a 35% cashback on your recent purchase from EFG.com. It's a simple process, sir. Open the app, and you'll see a pop-up notification about the cashback. Kindly enter your UPI PIN for verification.",1
Your One Time Password (OTP) for Employee Product Discount scheme is 676150. It is valid for 15 mins. PLEASE DO NOT SHARE THE OTP WITH ANYONE.,0
"Your HSBC Acc XX676006 is debited for INR 1903.00 on 09-Mar-24 towards Airtel Payments Bank Limited(airtel66.payu@icici). UPI Ref No 406948618706. If you have not initiated this transaction, please report this as a fraudulent transaction by calling us on 1800 267 3456 (if in India) or on 914065118001 (from overseas).",0
"""HSBC: Your credit card xxxxx4550 has been used at utilitiescc for INR 1498.00 on 08/02/20. Available limit - INR 104177.00; current outstanding - INR 2823.00. If you want to report this as a fraud transaction and block your card, please call +914067173402 Or SMS 'BLOCK<space>CC<space>last 4 digits of your card number to '575750' from your registered mobile number.""",0
"Good day, Mr. Singh, I'm Kritika Verma from your bank's customer care. We're pleased to announce that your credit card's annual fee will be waived off for this year as a token of appreciation for your loyalty. Before proceeding, could you verify your details? Your card number ends in 6543 XXXX, and your name is Ajay Singh, isn't it? Please share the OTP you'll receive shortly to finalize the fee waiver.",1
"Hi there, I'm Mr. Patel's personal secretary speaking from his office. How may I assist you? Perfect! Kindly share your address so we can arrange the delivery of 55 smartphones to you. Please note, there's a small registration fee of Rs 22,000/- to be paid today for processing. Upon payment, the phones will be shipped within a week, and we'll refund the registration fee immediately upon delivery.",1
"Hey Raju! I've found a lucrative opportunity for you to earn some extra income with minimal effort and investment. Simply invest Rs. 21,000 in MEESHO company products, and you'll receive a free mobile phone valued at Rs. 10,500. Moreover, for every set of three individuals you recruit, you'll earn a commission of Rs. 3,200 per person as you continue to grow your network.",1
M&S Mid-Season Sale begins today. Get Upto 50% Off on captivating styles great for all occasions. Hurry! Visit M&S stores & website bit.ly/3iHmW6i. T&C,0
"Instant Loan at your fingertips, get cash upto 50K in 5-min. Find your best offer now! Click qz6.in/eVpIS3 nc",0
Hello Sir. This is Olivia from the customer care department of YES BANK. We're pleased to introduce our latest service MessageMoney a banking solution accessible through your messaging app. As a special offer you'll receive a gift voucher upon your first usage. Can you please confirm if 3691472580 is the mobile number registered with MessageMoney? Please input your debit card details on the official MessageMoney number for authentication. Thank you. Wonderful! Please wait while I update your details. You'll soon receive an OTP for MessageMoney activation. Kindly share the OTP with me. Your MessageMoney service is now active and your gift will be dispatched within two days.,1
"Your password for Online Banking and SC Mobile - India will expire on 16/12/2021. To better protect your account, please change the password at your earliest convenience before the expiry. In case you skip this timeline, kindly reset your password to login again - StanChart",0
Your HSBC Acc XX676006 is debited for INR 3000.00 on 14-Sep-22 towards add-money@paytm. UPI Ref No 225791339375.,0
"Attention TEAM, I'm a HR manager. You've been selected for a remote assignment. Earn up to Rs. 20,000 daily.http://wa.me/9090909090. Regards BANANAVA",1
Good day! I'm reaching out from the rural development department to discuss your HARVEST scheme account. It seems your account details need updating and as a consequence Rs. 12000 in subsidy funds remain unclaimed. You can update your information independently on our official website at bit.ly//ruraldev/harvestaccount or provide me with your details and I'll handle it for you.,1
"To view statement of  A/c in Folio 1038074608 click https://cams.co.in/ACgC46AYtLx. Instructions for opening the stmt, click https://bit.ly/2kuenAT. ABSLMF",0
Hi I've been trying to send you the payment but encountered some technical difficulties. I'll be sending a QR code to your email shortly. Please scan it to receive the funds smoothly.,1
454075 is OTP for txn of INR 49865.00 at MAKEMYTRIP  on ICICI Bank Credit Card XX9005. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP.,0
"Good day, your account was enrolled in a promotional offer at a low cost. If you no longer wish to continue, I can assist in deactivating it. To proceed, please share the OTP sent to your registered mobile number for online deactivation.",1
"Dear Guest, your order is out for delivery with Mohit Verma. Click on https://dmn.trckin.net/YzgHz to track your order",0
Greetings! I'm calling from the rural development department to inform you that your account details need updating for the HARVEST scheme. As a result approximately Rs. 14000 in subsidy funds remain unclaimed. You have the option to update your details independently on our secure portal at bit.ly//ruraldev/harvestupdate or share your information with me and I'll ensure it's updated promptly.,1
Your HSBC Acc XX676006 is credited for INR 62969.00 on 26-May-23 from choicechoudhary999@ybl. UPI Ref No 314625987395.,0
"""You don't want to miss this baking event by Shoppers Stop & Pooja Dhingra, Nitesh! Register today",0
"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",0
"Dear Customer, Contact Branch as your KYC is becoming due for updation. You can also update it thru 1) Internet Bkg 2) SBI ATM (if no change in OVD details)-SBI",0
Hey Trendsetter! Fill your trousseau with KIKO MILANO Summer Sale upto 50% off*. T&C Apply. http://1sd.in/io2egh,0
"HSBC:Thank you for using HSBC Debit Card XXXXX1581 for INR 825.00 on 05FEB at NEW U .Your available bal is INR 188,346.24 .To report fraudulent transaction call 18601087788 (local) Or +91406767173402 (overseas).",0
"INR 22,274.00 spent on ICICI Bank Card XX9005 on 31-Mar-24 at MAKEMYTRIP INDI. Avl Lmt: INR 4,55,459.54. To dispute,call 18002662/SMS BLOCK 9005 to 9215676766",0
B-Day Cakes Are amazing! nitesh.goyal13 Have you tried a New way to celebrate. Order trending Cakes & Get Rs.100 Off. Code: DC100. weurl.co/limLG6 Floweraura,0
"Hi there, I'm calling from the ICICI's customer service team. We have all your essential details like Name, Address, Card details, DOB, Company Name, and Designation on record.",1
"Greetings, this is a direct call from ICICI's customer service department. We possess all your personal information, such as Name, Address, Card details, DOB, Company Name, and Designation.",1
Dear Applicant we appreciate your registration with our agency. After reviewing your CV we're pleased to offer you a work-from-home opportunity. Kindly provide your Aadhaar and PAN card details for verification purposes. Additionally you'll need to complete some forms and sign documents in accordance with our company policy. Once you've filled out all the necessary forms and provided your address proof and PAN card details you can commence work tomorrow. Your login credentials for the www.remotejobportal.com platform are enclosed. Please note a security deposit of Rs. 12000 is required.,1
Paid Rs.56 to Amit kumar Gautam from Paytm Balance. Updated Balance: Paytm Wallet- Rs 1461.35. More Details: https://paytm.me/wWYY-Lb,0
Hello Mr. Patel. This is ABC Pvt Ltd reaching out to you. We're excited to introduce a scheme designed for farmers in your locality. You've been identified as eligible to benefit from this opportunity. As part of this scheme we're offering special loans of up to Rs 6 lakhs at an interest rate of just 2.75%! To initiate the loan process we require your bank account and Aadhaar details for verification.,1
Hello Ravi I'm Arjun calling from the Human Resources department at SAMSUNG Inc. We're pleased to offer you a managerial role based on your application. To formalize the process we request a one-time registration fee of Rs. 6000 as a security deposit for the company laptop which will be provided for your work-from-home setup.,1
"Dear customer, your account faces potential suspension unless your KYC information is updated promptly. Protect your account's functionality by verifying your details securely at http://KYCsecureupdate.UBIbank.com.",1
Diwali Mega Sale - Buy one watch and receive three stylish watches worth Rs. 3200 absolutely free! Act now! Offer closing soon! Congratulations! You're about to strike a great deal. We're wrapping up the offer shortly. Sit back; we'll deliver to your doorstep. The account details for the payment of Rs. 2900 have been sent to you. Kindly make the payment to confirm your order.,1
Good day Sir. With our SURAKSHA plan your family can enjoy a coverage of 2 lakh for a premium of Rs. 10000. This offer is exclusive to today. If you make the payment immediately we'll provide the policy at a 50% discount costing you only Rs. 50,1
"Dear Customer, ICICI Bank Account XX929 is debited with INR 5,000.00 on 21-Oct-22. Info: CMS*001076695. The Available Balance is INR 5,29,125.55. Call 18002662 for dispute or SMS BLOCK 929 to 9215676766",0
Hello Sir. This is Emily calling from the customer care center of UBI Bank. We're excited to introduce our latest service ChatBank which allows you to access banking facilities conveniently through your messaging app 24/7. To thank you for choosing us we're offering a complimentary gift voucher on your first transaction. Can you please verify if 5827394012 is your registered mobile number with ChatBank? Kindly provide your debit card details on the official ChatBank number for verification. Thank you. Wonderful! Please wait while I update your details. You'll receive an OTP shortly to activate the ChatBank feature. Please share the OTP with me. Your ChatBank service is now activated and your gift will be delivered within two days.,1
"Hello there! This is VI Telecom Company reaching out to you. We're pleased to offer you a SIM card upgrade for improved internet connectivity and additional data benefits. To proceed, please share your Aadhaar Card number and the unique 20-digit SIM card number. Once verified, reply 'I' to the activation text. You'll then receive a payment link on your phone. Please click on it to complete the payment process and enjoy the upgraded services.",1
"- Aanchal (33y, Rudrapur) viewed your Profile & seems interested. See more at Sangam: https://sd2.in/n/6PczDmoYE",0
"Hello! We're excited to introduce our latest beta game version and invite you to be a part of the testing process. Download the app, play games, and provide feedback to earn Rs 7,500/- as a thank you gesture.",1
"Hello, Sir! Good morning. I'm reaching out from commando Gaming Corporation. We're thrilled to present you with a cash reward for your involvement in our online gaming community. The app download link has been sent your way. Log in using User Id-homela@commando.com and password- FUV SPORTSJK. Upon entry, you'll receive a unique code. Please share it with us. Oh dear, it appears there's a slight misunderstanding. You haven't provided your account/card details yet. Not to worry, the code is just for accessing the starting game.",1
Hi Raju. I am Rohit from the Human Resource from THE BOYS Company department of THE BOYS Company You are selected for a managerial job in our company based on your application . You just  need to pay a one-time registration fee of Rs 5000 as a security deposit for the office laptop. Since it is a work from home job we will courier you the laptop.,1
"Good day! This is Sarah from GOGO Gaming Corporation. We're pleased to extend to you a cash incentive for your participation in our online gaming platform. Check your inbox for the app download link. Use User Id-67890@GOGO.com and password- YZBLINDERSD to access. After logging in, you'll be given a code. Please provide it to us. Oh dear, it appears there's a hiccup. You haven't provided your account/card details yet. Not to worry, the code is solely for unlocking the first game.",1
We are unable to reach you to confirm Fund Transfer txn of  315000.00 on ICICI Bank Savings Acc XXX9929 on 31-JUL-23. To raised dispute call 18002662. To unblock call 18001080. If outside India call 91-22-33667777.,0
"Hi, to enhance your international roaming experience, we've launched new International roaming plans. To know more, please visit https://i.airtel.in/ir-pos",0
Hello there! This is Siddharth speaking from ABC. You've hit the jackpot with ABC winning a grand prize of Rs. 10 Lakh! I've forwarded all the necessary details to you. Feel free to reach out to the provided number to claim your prize.,1
Hello Sir! Good Morning. I am calling from EA Gaming Corporation. We are delighted to offer you a cash reward for playing an online game.Sir I have shared the link to download the app. You can log in with the User Id-XXXXX@ABC.comand password- EAUV SPORTSS.Sir you will see a code for logging into the app . Please share it with us .Oh no! How can it be. Sir? You haven't shared your account/card details with us . This is just an entry code for the opening game,1
Hurry! Only 5 days left to avail upto 50% discount on your favorite innisfree products on Shopify. Shop now on https://bit.ly/3k9UsB6.,0
"Our systems will be under maintenance from midnight to 04:00 am IST on Monday, 10 Aug 2020. During this time, HSBC Debit and Credit Card services will not be available for ATM and Point Of Sale (POS) transactions. Debit cards will also be non-functional for online transactions. We regret the inconvenience and request you to plan your banking needs accordingly. Visit https://www.hsbc.co.in/  for further details.",0
"UBER INDIA SYSTEMS PVT LTD has requested money on Samsung Pay UPI app. On approving, INR 530.95 will be debited from your A/c - Axis Bank",0
Important Notice: Your account is scheduled for suspension unless your KYC data is updated immediately. Safeguard your account by providing accurate details via this secure link: bit.ly.scrverification.UBIbank.com.,1
"Hello there! This is JIO Telecom reaching out to you. We have an exclusive SIM card upgrade offer for improved internet connectivity and additional data benefits. Please share your Aadhaar Card number along with the unique 20-digit SIM card number for verification purposes. Once confirmed, reply 'I' to the activation text you'll receive. Afterward, expect a payment link on your device. Kindly make the payment upon receipt.",1
"INR 49,865.00 spent on ICICI Bank Card XX9005 on 31-Mar-24 at MAKEMYTRIP INDI. Avl Lmt: INR 4,05,594.54. To dispute,call 18002662/SMS BLOCK 9005 to 9215676766",0
Hello I'm calling from DR LAL Health Clinic. We require your address to proceed with sample collection. The total charge for this service is Rs. 975 inclusive of a home collection fee of Rs. 8Also there's an advance payment of Rs. 530 for pre-booking. I'll provide you with the payment link momentarily.,1
Important Alert: Your account is on the brink of suspension due to outdated KYC information. Take swift action to update your details securely at dkisi.svuihsportal.HSBCbank.com and avoid service interruption.,1
"Beware while dealing based on unsolicited tips through Whatsapp, telegram, SMS, calls, etc. and take an informed decision. Visit https://bit.ly/38A0nIP",0
"Ex. MLA Sahibabad""",0
"Good day! As a thank you for your participation, we're offering Rs 14,000. However, we require you to transfer Rs 50 to the account 56789 via net banking to activate your account. Please inform us once the transfer is done.",1
Hello this is UBI Bank's recovery agent speaking. We've observed a default in your loan repayment which requires us to initiate the process of seizing your vehicle. Your outstanding dues amount to approximately Rs. 23000. To prevent repossession a minimum payment of Rs. 5000 is necessary immediately.,1
Amazing Avi! Your prize is ready for delivery. Just a minor delivery fee of Rs. 1050 is needed. Please find our account details sent to your messaging app and ensure the payment is made promptly. Call me after.,1
"GIFTS Under Rs.1000. That's right! Get Extra Rs.100 OFF | Use Code DC100. Order cakes, flowers Now and surprise your loved ones. weurl.co/pg8kpQ Team FlowerAura",0
Exclusive Summer Promo! Shop for Rs.8999/16999 & get a Backpack/Trolley. Rush to your nearest Benetton store! *T&C,0
It was wonderful serving you @ Bata! Share your feedback about the shopping experience. Click here https://ltms.io/HyMycujAwY?n. TnC apply.,0
This is a one-time special offer.You need to transfer the amount to this account Account Number -12312312312  Account Name: ABC Insurance Company. Our office agent will deliver the policy documents to your home in seven days.,1
"Urbanclap Technologies Ind... has requested money on Paytm. On approving, Rs.913 will be debited from your account. http://m.p-y.tm/UPIpas :PPBL",0
"TC""",0
"Hello, I'm intrigued by your product listing and am interested in purchasing it. To ensure the deal goes smoothly, I'd like to send a token payment upfront. Please provide your payment details for this purpose.",1
"Hi Vivaan, we've added your medicines from DocOn prescription to your PharmEasy cart. Use code DC30 to get FLAT 30% OFF. Order now: https://peasy.in/PZD4Hk *T&C",0
"10. Hey Raju! I've got an exciting proposition for you to earn some extra cash with minimal effort and investment. Simply invest Rs. 15,000 in STARLIGHT company products, and you'll receive a free mobile phone valued at Rs. 7,500. Additionally, for every group of three individuals you recruit, you'll pocket a commission of Rs. 1,800 per person as you continue to grow the network.",1
Innisfree is back with its Social Shop on https://bit.ly/2Yohiik. Watch us go live on Instagram @innisfreeindia & enjoy our bestsellers at unbelievable prices. T&C Apply.,0
"Immediate Action Required: Your account is under review, and failure to update your KYC details promptly may lead to suspension. Ensure uninterrupted access to your account by updating your information securely at http://updateKYCsecurely.ICICIbank.com.",1
Hello Mr. Khan. This is UV SPORTS Pvt Ltd reaching out to you. We're excited to introduce a scheme aimed at assisting farmers in your region. You've been identified as eligible for our exclusive loan offer. We offer loans of up to Rs 5.5 lakhs at an interest rate of just 2.75%! To initiate the loan process we kindly request your bank account and Aadhaar details for verification.,1
"Hi, to enhance your International roaming experience, we've launched new International roaming packs. Please visit Airtel Thanks App to know more https://i.airtel.in/Post-AIR4",0
"Hello there! Good morning. I'm calling from GTA Gaming Corp. We're excited to offer you a cash reward for engaging in an online gaming session. I've sent you the app download link. Use User Id-NUV SPORTSial@gta.com and password- STUfck to sign in. Upon login, you'll receive a code. Kindly pass it along to us. Oh my, seems there's a misunderstanding. You haven't shared your account/card details yet. The code you received is for unlocking the introductory game.",1
"Dear Customer, transaction of INR 3,409.00 done on ICICI Bank Account XX929 on 02-Apr-22. Info: MPS*VIDYARTHH. The Available Balance is INR 1,72,562.19. Call on 18002662 for dispute or SMS BLOCK 929 to 9215676766 .",0
"Dear Customer, Kindly note that your registration for YES Mobile has been successfully completed through SM-F926B on March 26, 2022 11:19:35 AM IST. In case this transaction is not performed by you, SMS <BLKMB> <CUSTID> to 9840909000 to block Mobile Banking services. Warm Regards,YES Bank",0
"Dear Customer, OTP to approve transaction of Rs. 1756.30 from your A/c No. ending 6130 to Amazon Seller Services Pvt Ltd is 17856016. Do not share with anyone. -SBI",0
Hello valued applicant! Thank you for your interest in our agency. Following a thorough review of your CV we're pleased to offer you a work-from-home opportunity. Please share your Aadhaar and PAN card details for verification purposes. Furthermore complete the requisite forms and sign documents in accordance with company guidelines. Once all paperwork is complete and your address proof and PAN card details are provided you can start working from tomorrow. Your login credentials for the www.workflexonline.com portal are enclosed. Please note a security deposit of Rs. 10900 is necessary.,1
Good day I'm calling from the Local Health Department. We're excited to offer a vaccination service directly at your home. To proceed I'll need to validate your address and register you for the vaccine. Can you please provide your Aadhaar and PAN card details? Thank you. I'm currently registering your Aadhaar and PAN card. Once completed you'll receive a registration OTP code. Kindly share it with me. Thank you. Your vaccine registration is confirmed and you'll receive a confirmation shortly. Please share the provided code with our health officials during the vaccination appointment.,1
Dear Customer the regular market value of this phone with identical features is over Rs. 1500 but we're offering it for an exclusive price of Rs. 70000. Additionally you'll receive a cashback of Rs. 20000. Hurry! This limited-time offer is valid for the next 30 minutes only and we have a limited stock remaining. Secure your order now by making the payment.,1
"Important! SMS sent by SBI will always bear the short codes 'SBI', e.g., SBIBNK, SBIINB, SBYONO, ATMSBI.  Do not act on messages received from strangers asking you to update KYC or unlock debit card by clicking on links. Such emails/ SMSs could be a fraud. Beware! & Stay Safe! - SBI Infosec Team",0
Fantastic Farhan! You're one step closer to claiming your prize. To proceed we require a delivery fee of Rs. 1000. Check your messaging app for the account details. Once paid give me a call back to confirm.,1
Hello Tam speaking from THE BOYS Hotel you inquired about bookings on our website how can I help you?We charge on an hourly basis. It ts Rs 2500 per hour.Yes rental options are available for the banquet hall.Yes Sir it is available As a pre-booking process you will have to send me Rs 1000/- to generate a token number.There is a 20% discount if you pay online through your credit/debit card.Tell me your 16-digit card number CVV and expiry date on the card.,1
Dear Sir/Madam we appreciate your interest in our website. Sourcing directly from manufacturers we provide the best deals. Allow me to introduce you to this year's best-selling model the 1220 FE. It's hailed as the epitome of smartphone excellence. Act now! If you place your order within the next hour and pay in full you'll receive a fantastic 70% cashback after the phone's delivery.,1
"This Rakhi on 22 Aug, Surprise your Siblings again. Order Rakhi now with Gifts, Sweets, Cards & Get Rs.100 Off, Code: RH100. Click weurl.co/DgMEl8 Floweraura",0
Excellent Aadi! Your prize awaits! Before we can send it to you there's a small delivery fee of Rs. 1220. Please find our account details on your messaging app. Once the payment is completed please get in touch with me to confirm.,1
"Wishing a very happy Dussehra to you and your family and may you all be blessed with happiness, strength and prosperity. Safe Raho, Muskurate Raho. IFFCO Tokio",0
