Label,Scammer,scam type,trick type,attack type,reason
0,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",,,,
1,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS",,,,
0,"Now, whats your house # again ? And do you have any beer there ?",,,,
0,No just send to you. Bec you in temple na.,,,,
1,"URGENT: Your Bank of Amercia acount has been temporarly suspended due to suspisious activty. To reactivate, click on this link http://bit.ly/3x4y5z and enter your login credintials.",Phishing,"Authority, Creating a Sense of False Authority",Intentional spelling mistakes,"['The message creates a sense of false authority by claiming to be from a legitimate bank.', ""The message contains intentional spelling mistakes (e.g. 'Amercia' instead of 'America', 'temporarly' instead of 'temporarily', 'suspisious' instead of 'suspicious', 'credintials' instead of 'credentials')."", 'The message tries to create a sense of urgency to prompt the user into taking action.', 'The message asks the user to click on a suspicious link and enter sensitive information.']"
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,,
0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",,,,
1,"URGENT: Dr. Phil, a renowned finacial expert, has warned about a security breach in your Bank of Amercia account. Click here to secure your account now: https://bänköfamerica.com/secure",Phishing,"Authority, Using Fake Expert Endorsements","Intentional spelling mistakes, Homograph Attack","['Uses authority figure (Dr. Phil) to establish credibility', 'Fake expert endorsement (Dr. Phil is not a financial expert)', 'Intentional spelling mistake (finacial instead of financial)', 'Homograph attack (bänköfamerica.com instead of bankofamerica.com)']"
1,L1m1t3d T1m3 Off3r! You'v3 b33n s3l3ct3d for a VIP upd4t3 on your B4nk 0f Am3r1c4 acc0unt. Cl1ck h3r3 to v3r1fy: httрs://b4nk0fam3r1c4.com/v1p-upd4t3,Phishing,"Scarcity, Creating a Sense of Exclusivity","Homograph Attack, Intentional spelling mistakes","[""Creates a sense of exclusivity with 'L1m1t3d T1m3 Off3r' and 'VIP upd4t3'"", 'Uses scarcity by implying the offer is time-sensitive', ""Employs homograph attack with 'httрs' instead of 'https'"", ""Includes intentional spelling mistakes ('L1m1t3d', 'T1m3', 's3l3ct3d', 'upd4t3', 'v3r1fy', 'b4nk0fam3r1c4')"", 'Asks the user to click on a suspicious link', 'The URL does not match the actual Bank of America website']"
0,https://forms.myscheme.gov.in/form/659fd1a8fb9aaf8a0dc65700,,,,
0,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",,,,
0,Why de. You looking good only:-)..,,,,
0,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",,,,
1,Exciting times Aarav! Just a final step left before you get your prize. All we need is a delivery fee of Rs. 1100. Check your messaging app for our account details. Once paid please give me a call back.,,,,
0,Can i get your opinion on something first?,,,,
0,"Hi, you can head to Airtel Thanks app & pay your Airtel Black bill seamlessly with your preferred payment mode. Click http://u.airtel.in/raj1",,,,
0,I am not having her number sir,,,,
0,"Hi Vivaan, Medicines from your Docon prescription are waiting in your shopping cart for checkout on PharmEasy. All our medicines are at a FLAT 15% discount. Click here to buy now https://peasy.in/I10uNC",,,,
0,Okie but i scared u say i fat... Then u dun wan me already...,,,,
0,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,,,,
0,"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",,,,
0,You have got tallent but you are wasting.,,,,
0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,,,,
1,"Hi Raju! I've stumbled upon an incredible opportunity for you to earn some extra income with minimal effort. Simply invest Rs. 17,000 in STARLIGHT company products, and you'll receive a free mobile phone valued at Rs. 8,500. Plus, for every group of three individuals you introduce to the scheme, you'll earn a commission of Rs. 2,300 per person as you continue to grow your network.",,,,
0,Am slow in using biola's fne,,,,
0,Still in the area of the restaurant. Ill try to come back soon,,,,
0,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,,,,
0,"Aight, can you text me the address?",,,,
0,Ü give me some time to walk there.,,,,
0,"Awesome, plan to get here any time after like  &lt;#&gt; , I'll text you details in a wee bit",,,,
0,"Thanks, I'll keep that in mind",,,,
1,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play £250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",,,,
0,"URGENT: We've detected unusual activity on your PayPal account! Click here to review and secure your account now! https://www.paypal.com/security (if you don't act now, your account may be temporarily restricted!)",Phishing,"Scarcity, Using High-Pressure Sales Tactics","Homograph Attack, Intentional spelling mistakes","[""It's from a legitimate source (PayPal's official domain)"", 'The link provided is a legitimate PayPal URL', 'The message is warning about unusual activity, not making false claims', 'The tone is urgent but not threatening, and the language is professional', 'There are no intentional spelling mistakes or homograph attacks']"
0,"Probably gonna be here for a while, see you later tonight &lt;)",,,,
0,"Uh, heads up we don't have THAT much left",,,,
0,I've reached sch already...,,,,
0,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,,,,
0,"Nah I don't think he goes to usf, he lives around here though",,,,
0,If you're not in my car in an hour and a half I'm going apeshit,,,,
0,No..jst change tat only..,,,,
0,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.,,,,
0,* Thought I didn't see you.,,,,
0,Somebody should go to andros and steal ice,,,,
0,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,,,,
0,Watching tv lor... Y she so funny we bluff her 4 wat. Izzit because she thk it's impossible between us?,,,,
1,Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546,,,,
1,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,,
0,Paid Rs.65 to Toll Fastag from Paytm Balance. Updated Balance: Paytm Wallet- Rs 1406.1. More Details: https://paytm.me/L-87wHz,,,,
0,Aiyah u did ok already lar. E nydc at wheellock?,,,,
0,S:-)if we have one good partnership going we will take lead:),,,,
0,Moji i love you more than words. Have a rich day,,,,
0,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?,,,,
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,,,,
0,I'm reaching home in 5 min.,,,,
1,Remarkable Aadi! You're just moments away from receiving your Rs. 10 lakh jackpot. All that's left is to clear the tax fee of Rs. 28000 to proceed with the prize claim.,,,,
0,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?,,,,
0,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL",,,,
0,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",,,,
0,I jokin oni lar.. Ü busy then i wun disturb ü.,,,,
1,"Attention TEAM, I'm a HR manager. You've been selected for a remote assignment. Earn up to Rs. 20,000 daily.http://wa.me/9090909090. Regards BANANAVA",,,,
1,"URGENT: Your Apple acc0unt has been compromized! Click here to secure your acc0unt and get a 5-star rated protection from our expert team at https://aple.com/secure (4.9/5 rating from 10,000+ satisfied customers!)",Phishing,"Authority, Using Fake Reviews or Ratings to Build Credibility","Intentional spelling mistakes, Homograph Attack","[""Uses 'URGENT' to create a sense of panic"", ""Misspells 'account' as 'acc0unt' to avoid detection"", ""Uses a homograph attack with 'aple.com' instead of 'apple.com'"", 'Claims a 4.9/5 rating from a large number of customers to build credibility', 'Asks the user to click on a suspicious link']"
0,Are there TA jobs available? Let me know please cos i really need to start working,,,,
0,Ugh hopefully the asus ppl dont randomly do a reformat.,,,,
1,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,,,,
0,Tell them no need to investigate about me anywhere.,,,,
0,R u here yet? I'm wearing blue shirt n black pants.,,,,
0,Lol u still feeling sick?,,,,
0,"Coffee cake, i guess...",,,,
0,I dont know exactly could you ask chechi.,,,,
0,"Gud gud..k, chikku tke care.. sleep well gud nyt",,,,
1,Urgent: Your PayPa1 account has been compromized due to a suspecious activty from a remot location. Our securtiy team has identifed a vulerability in your account and requsts you to verfiy your credentails at https://paypa1.com/secure/login to avoid account suspension.,Phishing,"Authority, Using Jargon or Technical Terms","Intentional spelling mistakes, Homograph Attack","[""Uses 'Authority' by claiming to be from a security team"", ""Uses jargon/technical terms like 'vulnerability' and 'remot location'"", ""Intentional spelling mistakes: 'suspecious', 'securtiy', 'vulerability', 'verfiy', 'credentails', 'PayPa1'"", ""Homograph Attack: 'PayPa1' instead of 'PayPal'"", 'Urgency tactic to create a sense of panic', 'Suspicious link that may lead to a phishing website']"
1,"URGENT: Your Bank of America acount has been temporarly locked due to suspisious activty. To reactivate, click this link https://bofa-secure.com/reactivate and enter your login credintials. This is a secure site, certified by VeriSign.",Phishing,"Scarcity, Creating a Sense of False Sense of Security",Intentional spelling mistakes,"[""Creates a sense of urgency and scarcity with 'URGENT'"", ""Uses a false sense of security with 'This is a secure site, certified by VeriSign'"", ""Contains intentional spelling mistakes ('temporarly', 'suspisious', 'credintials')"", 'Asks for sensitive information (login credentials)', 'Uses a suspicious link that is not the official Bank of America website']"
0,"Yeah, probably here for a while",,,,
0,Really good:)dhanush rocks once again:),,,,
1,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",,,,
0,"SECURITY ALERT: We've detected unusual activity on your Barclay's Bank account. To protect your funds, please click https://www.barclays.co.uk/security to review and update your password. If you need assistance, call 0345 734 5345.",Phishing,"Scarcity, Playing on Emotions",Homograph Attack,"['The message is from a legitimate domain (barclays.co.uk) and not a fake one.', 'The message provides a phone number for assistance, which is a common practice for legitimate banks.', 'The message does not create a sense of panic or urgency to act immediately, but rather encourages the user to take a security measure.', 'The message does not ask for sensitive information such as passwords or login credentials.']"
0,I'm fine. Hope you are also,,,,
0,If he started searching he will get job in few days.he have great potential and talent.,,,,
1,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,,
0,I have many dependents,,,,
1,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate",,,,
0,Shopping lor. Them raining mah hard 2 leave orchard.,,,,
0,Howz pain.it will come down today.do as i said ystrday.ice and medicine.,,,,
0,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,,,,
0,I absolutely LOVE South Park! I only recently started watching the office.,,,,
0,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,,,,
0,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,,,,
0,TELL HER I SAID EAT SHIT.,,,,
0,Ok i've sent u da latest version of da project.,,,,
0,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",,,,
0,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,,,,
0,Will purchase d stuff today and mail to you. Do you have a po box number?,,,,
1,100 dating service cal;l 09064012103 box334sk38ch,,,,
0,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",,,,
0,"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",,,,
0,Are you this much buzy,,,,
1,URGENT: 87% of Apple users in your area have been hacked! Click this link to secure your account now: аpple.com/secure (Case sensitive),Phishing,"Scarcity, Using Fake Statistics or Data",Homograph Attack,"[""Creates a sense of urgency with 'URGENT'"", ""Uses fake statistics '87% of Apple users' to create fear"", ""Uses a homograph attack with 'аpple.com' instead of 'apple.com'"", 'Asks the user to click on a suspicious link', ""The message tries to create a sense of scarcity by implying that the user's account is at risk""]"
1,Amazing Avi! Your prize is ready for delivery. Just a minor delivery fee of Rs. 1050 is needed. Please find our account details sent to your messaging app and ensure the payment is made promptly. Call me after.,,,,
0,Its a part of checking IQ,,,,
1,Hi there Sir! This is Ryan calling from VI Telecom. We have an exclusive offer for you - a SIM card upgrade for better internet speed and enhanced data benefits. To proceed we need your Aadhaar Card number and the unique 20-digit SIM card number. After verification you'll receive an activation text. Respond with 'I' to activate. Keep an eye on your phone for the payment link. Click and complete the payment to avail the offer.,,,,
0,ALRITE,,,,
1,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",,,,
1,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only,,,,
0,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",,,,
0,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,,,,
0,K:)k:)good:)study well.,,,,
0,"Could you not read me, my Love ? I answered you",,,,
0,Grab it before it's gone!,,,,
0,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",,,,
0,Beerage?,,,,
0,"Babe, I need your advice",,,,
0,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT,,,,
0,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",,,,
0,Should I be stalking u?,,,,
1,"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",,,,
0,Bugis oso near wat... ,,,,
1,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",,,,
1,"Hello, I'm Mr. Patel's personal secretary calling from his office. How may I assist you? Wonderful! Please provide your address for the delivery of 70 smartphones. Please be aware, there's a registration fee of Rs 67,500/- due today for processing. Once paid, the phones will be sent within a week, and we'll refund the registration fee immediately upon delivery.",,,,
0,It's the season to shine with Levi's.  Get Levi's worth Rs 1000 Free on purchase of Rs 6999 and Worth Rs 2000 on Rs 9999. *T&C.To opt out call : 8551050501,,,,
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,,
0,We hope you liked the All New Domino's Pizza. Click https://po.jublfood.net/d/a.asp?i=963926508527858647 to share your valuable feedback,,,,
0,"Dear Bata Club Member, your OTP is 945594. Show the code to redeem Club points. Happy Shopping! TnC. To optout call 7798811887",,,,
0,URGENT: We've detected unusual login attempts on your account. The Federal Trade Commission (ftc.gov) recommends securing your account ASAP. Click this link to review and update your account info: https://account-update.ftc.gov,Phishing,"Authority, Scarcity",Homograph Attack,"[""The domain 'ftc.gov' is a legitimate government website"", 'The link provided is a legitimate government website and not a homograph attack', ""The message is informative and doesn't create a false sense of urgency"", ""The message doesn't ask for sensitive information or login credentials""]"
0,Company is very good.environment is terrific and food is really nice:),,,,
0,Paid Rs.150 to Nisha Cake Studio from Paytm Balance. Updated Balance: Paytm Wallet- Rs 1517.35. More Details: https://paytm.me/K-JYYLb,,,,
0,I don't know but I'm raping dudes at poker,,,,
0,Why nothing. Ok anyway give me treat,,,,
0,"INR 49,865.00 spent on ICICI Bank Card XX9005 on 31-Mar-24 at MAKEMYTRIP INDI. Avl Lmt: INR 4,05,594.54. To dispute,call 18002662/SMS BLOCK 9005 to 9215676766",,,,
0,I'm still pretty weak today .. Bad day ?,,,,
0,"Shower your loved ones with Happiness of Flowers, Cakes, Plants & Gifts and Get Rs.100, Use Code DC100. Don't wait, Order Now. weurl.co/EiKvGt Floweraura",,,,
0,"Sorry, I'll call later",,,,
0,"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit",,,,
0,What happen dear tell me,,,,
0,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,,,,
0,Unlimited texts. Limited minutes.,,,,
1,URGENT: Your Bank Accnt has been temporarly suspended due to suspisious activty. Click here to reactivate: http://bit.ly/reactivate-now,Phishing,"Scarcity, Creating a Sense of Importance or Priority",Intentional spelling mistakes,"[""Creates a sense of urgency and importance with 'URGENT'"", 'Uses scarcity tactic by stating the account has been suspended', ""Includes intentional spelling mistakes ('temporarly', 'suspisious')"", 'Asks the user to click on a suspicious link', 'The link is shortened, making it difficult to determine its origin']"
0,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",,,,
1,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,,
0,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,,,,
0,"URGENT: Dr. Phil, renowned financial expert, warns of IRS tax refund scam! Visit irs.gov/refund-education to learn how to protect yourself and report suspicious activity. Failure to be vigilant may result in financial loss.",Phishing,"Authority, Using Fake Expert Endorsements","Homograph Attack, Intentional spelling mistakes","['It does not ask for personal information or login credentials', 'It does not contain intentional spelling mistakes', 'It does not use a homograph attack (irš.gov is replaced with irs.gov)', 'It provides educational resources instead of asking for action', 'It does not create a sense of urgency to take immediate action']"
0,"Okay, good, no problem, and thanx!",,,,
0,"Learn about Prime benefits of FREE fast delivery, unlimited video streaming, exclusive offers & more. www.amazon.in/prime",,,,
0,"Important: We've detected unusual activity on your Bank of America account. To ensure your security, please verify your information by logging into your online banking account or calling us at 1-800-432-1000. If you need assistance, our security team is available to help.",Phishing,"Authority, Making Unsolicited Demands for Payment or Information",Intentional spelling mistakes,"['It does not create a sense of urgency to prompt immediate action', 'It does not ask for sensitive information or payment', 'It provides a legitimate contact method (phone number) instead of a suspicious link', 'It does not contain intentional spelling mistakes', 'It is written in a professional tone and does not use threatening language']"
0,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,,,,
0,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,,,,
0,Depends on where u going lor.,,,,
1,"Hi there, I attempted to transfer the funds a moment ago, but encountered some technical issues. To resolve this, I'll be sending you a QR code via email. Kindly scan the QR code to facilitate the transfer of the amount.",,,,
1,Urgent: Your PayPa1 account has been compromized. Click on this link to secure your account immediatly: https://paypa1.com/secure,Phishing,"Authority, Creating a Sense of Fear","Intentional spelling mistakes, Homograph Attack","['Authority: Using a well-known brand name to create a sense of legitimacy', 'Creating a Sense of Fear: Using urgent language to prompt immediate action', ""Intentional spelling mistakes: 'immediatly' instead of 'immediately', 'compromized' instead of 'compromised'"", ""Homograph Attack: Using 'PayPa1' instead of 'PayPal' to deceive the recipient""]"
0,K.:)do it at evening da:)urgent:),,,,
0,Hey now am free you can call me.,,,,
0,Buy one egg for me da..please:),,,,
0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,,
0,"Limited time offer! As a valued customer, you're eligible for a free 30-day trial of our premium service! Click here to activate: https://example.com/trial (hurry, only 24 hrs left!)",Phishing,"Scarcity, Making Unsolicited Offers of Free Trials or Services","Intentional spelling mistakes, Homograph Attack","['The message is addressed to a specific group (valued customers) rather than a general audience.', 'The link provided is from a legitimate domain (example.com) rather than a shortened URL or a suspicious domain.', 'The language used is professional and free of intentional spelling mistakes.', ""The offer is not unsolicited, as it's addressed to existing customers.""]"
1,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days,,,,
1,"Good day! We're reaching out from a game development firm, inviting you to be a beta tester for our new game. Your feedback is crucial in perfecting the gaming experience. Participate now and receive a reward of Rs 9,000/- for your assistance.",,,,
0,Is ur paper today in e morn or aft?,,,,
0,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,,,,
1,"Hello Raju! I've come across an excellent opportunity for you to earn some extra cash with minimal time and investment required. All you need to do is invest Rs. 23,000 in TOMMY company products, and you'll receive a free mobile phone valued at Rs. 11,500. Furthermore, for every set of three individuals you enroll, you'll earn a commission of Rs. 3,300 per person as you grow your network.",,,,
1,Fantastic Farhan! We're almost there before you can enjoy your Rs. 10 lakh jackpot. Simply settle the tax fee of Rs. 23000 and the prize will be yours to claim.,,,,
0,"It's ok, at least armand's still around",,,,
1,Greetings this is BOI Bank's recovery agent speaking. It has come to our attention that you've defaulted on your loan payments necessitating the repossession of your vehicle. Your outstanding dues stand at approximately Rs. 21000. To avoid escalation an initial payment of Rs. 6000 is required promptly.,,,,
0,How was txting and driving,,,,
0,Ü collecting ur laptop then going to configure da settings izzit?,,,,
1,URGENT: Your account has been compromised! The FBI (fbi.securité.gov) has notified us of suspicious activity. Click this link to secure your account immediately: https://fbi.securité.gov/login,Phishing,"Authority, Creating a Sense of False Urgency",Homograph Attack,"['Uses a sense of authority by mentioning the FBI', ""Creates a false sense of urgency with the word 'URGENT'"", ""Uses a homograph attack by replacing '.gov' with '.gov' in the URL, making it appear legitimate"", 'Asks the user to click on a suspicious link', 'The URL is not an official FBI website']"
0,"Reminder: Payment for card************5754 is due on 18-FEB-20. Total=Rs.774.60,Minimum=Rs.774.60.Pay early to avoid charges.Please ignore if paid.",,,,
0,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.",,,,
0,You call him and tell now infront of them. Call him now.,,,,
0,Well i will watch shrek in 3D!!B),,,,
0,You do your studies alone without anyones help. If you cant no need to study.,,,,
0,Call me when u're done...,,,,
1,Hi there I'm calling from UV SPORTS Diagnostic Center. We'd like to collect your sample but we need your address first. The total cost for this service is Rs. 980 which includes a home collection charge of Rs. 9Also there's an advance payment of Rs. 520 for pre-booking. Let me share the payment link with you.,,,,
0,O. Guess they both got screwd,,,,
1,"Hello, I'm interested in buying your product after seeing it advertised. To ensure I don't miss out, I'd like to send a small token payment upfront. Could you please provide the necessary payment details?",,,,
0,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",,,,
0,Yep. I do like the pink furniture tho.,,,,
0,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",,,,
0,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,,
0,You unbelievable faglord,,,,
0,I am not at all happy with what you saying or doing,,,,
1,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,,,,
0,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,,,,
0,"Physical KYC review for A/C No.158***858647 is pending. To avoid A/C closure, please visit nearest branch along with PAN & Aadhaar to complete KYC review before '29-DEC-21' - IndusInd Bank",,,,
